ID,Typ,Artikelnr,Namn,Är utvald?,Publicerad,Kort beskrivning,Beskrivning,Datum när reapriset börjar,Datum när reapriset upphör,Momsstatus,Momsgrupp,I lager?,Lagersaldo,Lågt lagerantal,Tillåt restnoteringar?,Säljes styckvis?,Vikt (kg),Längd (cm),Bredd (cm),Höjd (cm),Tillåt kundrecensioner?,Köpmeddelande,Reapris,Ordinarie pris,Kategorier,Taggar,Fraktklass,Bilder,Nedladdningsgräns,Ladda ned utgångsdagar,Förälder,Grupperade produkter,Merförsäljning,Korsförsäljning,Extern URL,Knapptext,Position,Meta: thb_product_video,Meta: sizing_guide,Meta: rs_page_bg_color,Metarank_math_internal_links_processed,Meta: _wpb_vc_js_status,Meta: rank_math_permalink,Metarank_math_primary_product_cat,Meta: rank_math_seo_score,Metarank_math_facebook_enable_image_overlay,Metarank_math_facebook_image_overlay,Metarank_math_twitter_use_facebook,Metarank_math_twitter_card_type,Metarank_math_twitter_enable_image_overlay,Metarank_math_twitter_image_overlay
400,external,,Tack och Farväl,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,1299 kr,Begravning,,,https://www.euroflorist.se/Products/340x340/FS08_022S.jpg,,,,,,,https://www.euroflorist.se/tack-och-farval-pr10197,Skicka blommor nu,0,,off,,1,FALSE,Tack och Farväl,0,8,off,play,on,summary_large_image,off,play
401,external,,Älskad-Saknad,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,2199 kr,Begravning,,,https://www.euroflorist.se/Products/340x340/WR08_002S.jpg,,,,,,,https://www.euroflorist.se/alskad-saknad-pr10213,Skicka blommor nu,0,,off,,1,FALSE,Älskad-Saknad,0,8,off,play,on,summary_large_image,off,play
402,external,,En sista hälsning,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,1999 kr,Begravning,,,https://www.euroflorist.se/Products/340x340/WR13_010S.jpg,,,,,,,https://www.euroflorist.se/en-sista-halsning-pr21707,Skicka blommor nu,0,,off,,1,FALSE,En sista hälsning,0,8,off,play,on,summary_large_image,off,play
403,external,,Floristens dekorationsmix,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,399 kr,Begravning,,,https://www.euroflorist.se/Products/340x340/FB13_022FDM.jpg,,,,,,,https://www.euroflorist.se/floristens-dekorationsmix-pr11613,Skicka blommor nu,0,,off,,1,FALSE,Floristens dekorationsmix,0,8,off,play,on,summary_large_image,off,play
404,external,,Sorgbukett med rosor,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,599 kr,Begravning,,,https://www.euroflorist.se/Products/340x340/FB13_004M.jpg,,,,,,,https://www.euroflorist.se/sorgbukett-med-rosor-pr13019,Skicka blommor nu,0,,off,,1,FALSE,Sorgbukett med rosor,0,8,off,play,on,summary_large_image,off,play
405,external,,Floristens begravningsmix,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,700 kr,Begravning,,,https://www.euroflorist.se/Products/340x340/FS13_030FDS.jpg,,,,,,,https://www.euroflorist.se/floristens-begravningsmix-pr11615,Skicka blommor nu,0,,off,,1,FALSE,Floristens begravningsmix,0,8,off,play,on,summary_large_image,off,play
406,external,,Sorgdekoration i dämpade färger,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,795 kr,Begravning,,,https://www.euroflorist.se/Products/340x340/FS13_016M.jpg,,,,,,,https://www.euroflorist.se/sorgdekoration-i-dampade-farger-pr13010,Skicka blommor nu,0,,off,,1,FALSE,Sorgdekoration i dämpade färger,0,8,off,play,on,summary_large_image,off,play
407,external,,Floristens Kransmix,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,1099 kr,Begravning,,,https://www.euroflorist.se/Products/340x340/WR13_004FDM.jpg,,,,,,,https://www.euroflorist.se/floristens-kransmix-pr11617,Skicka blommor nu,0,,off,,1,FALSE,Floristens Kransmix,0,8,off,play,on,summary_large_image,off,play
408,external,,Klassisk begravningskrans,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,1799 kr,Begravning,,,https://www.euroflorist.se/Products/340x340/WR13_001S.jpg,,,,,,,https://www.euroflorist.se/klassisk-begravningskrans-pr12997,Skicka blommor nu,0,,off,,1,FALSE,Klassisk begravningskrans,0,8,off,play,on,summary_large_image,off,play
409,external,,Röd/ vit sorgdekoration,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,795 kr,Begravning,,,https://www.euroflorist.se/Products/340x340/FS13_013M.jpg,,,,,,,https://www.euroflorist.se/rod-vit-sorgdekoration-pr13008,Skicka blommor nu,0,,off,,1,FALSE,Röd/ vit sorgdekoration,0,8,off,play,on,summary_large_image,off,play
