ID,Typ,Artikelnr,Namn,Är utvald?,Publicerad,Kort beskrivning,Beskrivning,Datum när reapriset börjar,Datum när reapriset upphör,Momsstatus,Momsgrupp,I lager?,Lagersaldo,Lågt lagerantal,Tillåt restnoteringar?,Säljes styckvis?,Vikt (kg),Längd (cm),Bredd (cm),Höjd (cm),Tillåt kundrecensioner?,Köpmeddelande,Reapris,Ordinarie pris,Kategorier,Taggar,Fraktklass,Bilder,Nedladdningsgräns,Ladda ned utgångsdagar,Förälder,Grupperade produkter,Merförsäljning,Korsförsäljning,Extern URL,Knapptext,Position,Meta: thb_product_video,Meta: sizing_guide,Meta: rs_page_bg_color,Metarank_math_internal_links_processed,Meta: _wpb_vc_js_status,Meta: rank_math_permalink,Metarank_math_primary_product_cat,Meta: rank_math_seo_score,Metarank_math_facebook_enable_image_overlay,Metarank_math_facebook_image_overlay,Metarank_math_twitter_use_facebook,Metarank_math_twitter_card_type,Metarank_math_twitter_enable_image_overlay,Metarank_math_twitter_image_overlay
200,external,,Underbara rosor,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,269 kr,Födelsedag,,,https://www.euroflorist.se/Products/340x340/BOU21_01APHS.jpg,,,,,,,https://www.euroflorist.se/underbara-rosor-pr37557,Skicka blommor nu,0,,off,,1,FALSE,Underbara rosor,0,8,off,play,on,summary_large_image,off,play
201,external,,En doft av kärlek,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,349 kr,Födelsedag,,,https://www.euroflorist.se/Products/340x340/BOU20_40M.jpg,,,,,,,https://www.euroflorist.se/en-doft-av-karlek-pr36259,Skicka blommor nu,0,,off,,1,FALSE,En doft av kärlek,0,8,off,play,on,summary_large_image,off,play
202,external,,Aprilbuketten,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,329 kr,Födelsedag,,,https://www.euroflorist.se/Products/340x340/BOU20_21M.jpg,,,,,,,https://www.euroflorist.se/aprilbuketten-pr36450,Skicka blommor nu,0,,off,,1,FALSE,Aprilbuketten,0,8,off,play,on,summary_large_image,off,play
203,external,,Våräng,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,339 kr,Födelsedag,,,https://www.euroflorist.se/Products/340x340/BOU20_37M.jpg,,,,,,,https://www.euroflorist.se/varang-pr36193,Skicka blommor nu,0,,off,,1,FALSE,Våräng,0,8,off,play,on,summary_large_image,off,play
204,external,,Gyllene vår,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,329 kr,Födelsedag,,,https://www.euroflorist.se/Products/340x340/BOU20_02M.jpg,,,,,,,https://www.euroflorist.se/gyllene-var-pr36454,Skicka blommor nu,0,,off,,1,FALSE,Gyllene vår,0,8,off,play,on,summary_large_image,off,play
205,external,,Floristens val Solklar,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,339 kr,Födelsedag,,,https://www.euroflorist.se/Products/340x340/BOU15_43M.jpg,,,,,,,https://www.euroflorist.se/floristens-val-solklar-pr25493,Skicka blommor nu,0,,off,,1,FALSE,Floristens val Solklar,0,8,off,play,on,summary_large_image,off,play
206,external,,Vårlängtan,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,349 kr,Födelsedag,,,https://www.euroflorist.se/Products/340x340/BOU14_26M.jpg,,,,,,,https://www.euroflorist.se/varlangtan-pr26162,Skicka blommor nu,0,,off,,1,FALSE,Vårlängtan,0,8,off,play,on,summary_large_image,off,play
207,external,,Vårfägring,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,499 kr,Födelsedag,,,https://www.euroflorist.se/Products/340x340/BOU20_33M.jpg,,,,,,,https://www.euroflorist.se/varfagring-pr36389,Skicka blommor nu,0,,off,,1,FALSE,Vårfägring,0,8,off,play,on,summary_large_image,off,play
208,external,,Vårkänslor,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,379 kr,Födelsedag,,,https://www.euroflorist.se/Products/340x340/BOU14_154M.jpg,,,,,,,https://www.euroflorist.se/varkanslor-pr26517,Skicka blommor nu,0,,off,,1,FALSE,Vårkänslor,0,8,off,play,on,summary_large_image,off,play
209,external,,Drömäng,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,349 kr,Födelsedag,,,https://www.euroflorist.se/Products/340x340/BOU20_82M.jpg,,,,,,,https://www.euroflorist.se/dromang-pr36487,Skicka blommor nu,0,,off,,1,FALSE,Drömäng,0,8,off,play,on,summary_large_image,off,play
210,external,,Hoppfull vår,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,329 kr,Födelsedag,,,https://www.euroflorist.se/Products/340x340/BOU17_135M.jpg,,,,,,,https://www.euroflorist.se/hoppfull-var-pr34392,Skicka blommor nu,0,,off,,1,FALSE,Hoppfull vår,0,8,off,play,on,summary_large_image,off,play
211,external,,Stor kram,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,469 kr,Födelsedag,,,https://www.euroflorist.se/Products/340x340/GIF20_01M.jpg,,,,,,,https://www.euroflorist.se/stor-kram-pr36380,Skicka blommor nu,0,,off,,1,FALSE,Stor kram,0,8,off,play,on,summary_large_image,off,play
212,external,,Floristen designar Vår,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,349 kr,Födelsedag,,,https://www.euroflorist.se/Products/340x340/BOU14_28S.jpg,,,,,,,https://www.euroflorist.se/floristen-designar-var-pr20413,Skicka blommor nu,0,,off,,1,FALSE,Floristen designar Vår,0,8,off,play,on,summary_large_image,off,play
213,external,,Önskedröm,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,389 kr,Födelsedag,,,https://www.euroflorist.se/Products/340x340/BOU16_050M.jpg,,,,,,,https://www.euroflorist.se/onskedrom-pr29127,Skicka blommor nu,0,,off,,1,FALSE,Önskedröm,0,8,off,play,on,summary_large_image,off,play
214,external,,Viola,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,339 kr,Födelsedag,,,https://www.euroflorist.se/Products/340x340/BOU15_05M.jpg,,,,,,,https://www.euroflorist.se/viola-pr28831,Skicka blommor nu,0,,off,,1,FALSE,Viola,0,8,off,play,on,summary_large_image,off,play
215,external,,Ljus kärlek,0,1,,,,,taxable,,1,,,0,0,,,,,1,,,329 kr,Födelsedag,,,https://www.euroflorist.se/Products/340x340/BOU20_10M.jpg,,,,,,,https://www.euroflorist.se/ljus-karlek-pr36197,Skicka blommor nu,0,,off,,1,FALSE,Ljus kärlek,0,8,off,play,on,summary_large_image,off,play
